id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Hours,Sable Moon,r&b,romantic,0.55,94,0.78,0.72,0.48
12,Block Party,J-Kinetic,hip-hop,energetic,0.85,108,0.73,0.91,0.08
13,Laser Pulse,DROP ZONE,edm,intense,0.95,140,0.62,0.93,0.03
14,Winter Sonata,Clara Veil,classical,melancholic,0.20,66,0.32,0.25,0.97
15,Porch Swing Evenings,Hank Riddle,country,nostalgic,0.45,100,0.68,0.55,0.82
16,Fuego Lento,Sol Rayo,latin,happy,0.80,122,0.88,0.90,0.15
17,Iron Descent,Hollow Throne,metal,aggressive,0.97,168,0.30,0.52,0.04
18,Autumn Letters,Fern and Ivy,folk,sad,0.30,76,0.35,0.38,0.94
19,Groove District,The Pocket,funk,energetic,0.78,116,0.82,0.89,0.20
20,Echoes in Concrete,Voltline,rock,moody,0.68,98,0.42,0.50,0.30
